date,user,profil_user,nb_followers,contenu_tweet,nb_retweets
2024-01-13,user04,enseignant,2303,L'immigration est une richesse pour la société. #DebatPublic,62
2024-01-16,user02,etudiant,817,Un débat apaisé est nécessaire. #Europe,55
2025-01-01,user07,infirmiere,4514,Un débat apaisé est nécessaire. #Immigration #Accueil,107
2024-06-23,user14,patron_pme,2326,La diversité culturelle est un atout. #Migration,39
2024-02-19,user13,ouvrier,2990,L'immigration manque de régulation. #Europe #Migration,88
2024-02-10,user13,ouvrier,4572,Il faut mieux contrôler les frontières. #Frontieres #Migration,75
2024-12-04,user02,etudiant,1916,Les capacités d'accueil sont limitées. #DebatPublic,74
2024-08-20,user09,chercheur,3038,L'accueil des migrants est une responsabilité collective. #Migration #Accueil,41
2025-01-08,user18,cadre_prive,2055,La diversité culturelle est un atout. #PolitiqueMigratoire,41
2024-04-27,user02,etudiant,312,L'immigration est une richesse pour la société. #PolitiqueMigratoire,80
2024-12-01,user07,infirmiere,4139,Les politiques migratoires sont inefficaces. #Asile,101
2024-05-06,user05,journaliste,4648,Un débat apaisé est nécessaire. #DebatPublic #PolitiqueMigratoire,137
2024-03-11,user08,chauffeur_vtc,4224,L'immigration est une richesse pour la société. #Accueil,126
2024-12-14,user06,retraite,3508,Un débat apaisé est nécessaire. #Europe #Asile,16
2024-01-06,user18,cadre_prive,988,La pression sur les services publics augmente. #Asile,137
2024-03-21,user14,patron_pme,3766,La pression sur les services publics augmente. #Europe,0
2024-11-16,user04,enseignant,2494,Les capacités d'accueil sont limitées. #Accueil #Immigration,129
2024-06-14,user20,consultant,4052,La diversité culturelle est un atout. #Frontieres #Immigration,4
2024-10-17,user08,chauffeur_vtc,695,L'immigration manque de régulation. #Accueil,21
2024-10-08,user16,blogueur,1402,Il faut mieux contrôler les frontières. #Frontieres #Europe,67
2024-07-23,user10,commercant,3109,Les politiques migratoires sont inefficaces. #Frontieres,112
2024-02-02,user08,chauffeur_vtc,2819,Les capacités d'accueil sont limitées. #Immigration,5
2024-12-28,user03,employe_prive,532,L'immigration est une richesse pour la société. #Migration #Frontieres,58
2024-12-08,user09,chercheur,4026,Il faut mieux contrôler les frontières. #Frontieres #Travail,54
2024-04-07,user14,patron_pme,822,La pression sur les services publics augmente. #DebatPublic #Travail,24
2024-12-10,user02,etudiant,856,La diversité culturelle est un atout. #Frontieres,15
2024-04-07,user07,infirmiere,4443,L'accueil des migrants est une responsabilité collective. #Travail #Frontieres,114
2024-08-14,user03,employe_prive,4558,Un débat apaisé est nécessaire. #Migration,25
2024-03-26,user08,chauffeur_vtc,3379,Les migrants contribuent à l'économie. #Accueil,124
2024-01-02,user13,ouvrier,3248,Les politiques migratoires sont inefficaces. #DebatPublic #Travail,67
2024-04-07,user05,journaliste,2480,Il faut mieux contrôler les frontières. #PolitiqueMigratoire,55
2024-01-26,user02,etudiant,4835,Il faut mieux contrôler les frontières. #Immigration,122
2024-02-11,user17,doctorant,1572,Les capacités d'accueil sont limitées. #Migration #Frontieres,17
2024-10-31,user19,militant_asso,375,Un débat apaisé est nécessaire. #Asile #Frontieres,20
2024-05-02,user11,agent_public,2225,La diversité culturelle est un atout. #PolitiqueMigratoire #Migration,101
2024-08-22,user01,citoyen_engage,4662,L'accueil des migrants est une responsabilité collective. #Accueil #PolitiqueMigratoire,25
2024-05-05,user03,employe_prive,3077,Un débat apaisé est nécessaire. #Europe #Immigration,72
2024-06-02,user18,cadre_prive,898,L'immigration est une richesse pour la société. #Asile,34
2024-11-05,user10,commercant,1775,La diversité culturelle est un atout. #Asile #Immigration,87
2024-11-20,user03,employe_prive,3519,La diversité culturelle est un atout. #Asile,70
2025-01-14,user06,retraite,3669,Il faut mieux contrôler les frontières. #Migration,141
2024-12-19,user03,employe_prive,1271,La diversité culturelle est un atout. #DebatPublic,139
2024-01-22,user05,journaliste,2575,L'immigration manque de régulation. #Frontieres #Europe,93
2024-06-30,user04,enseignant,4636,Les capacités d'accueil sont limitées. #Accueil,104
2024-07-30,user06,retraite,253,La pression sur les services publics augmente. #Frontieres #Asile,45
2024-12-25,user06,retraite,935,Les politiques migratoires sont inefficaces. #Frontieres,97
2024-06-28,user15,urbaniste,2550,L'accueil des migrants est une responsabilité collective. #PolitiqueMigratoire #Asile,58
2025-01-30,user03,employe_prive,2336,Les politiques migratoires sont inefficaces. #Immigration #Migration,89
2024-04-01,user09,chercheur,4806,Un débat apaisé est nécessaire. #PolitiqueMigratoire #Europe,67
2024-11-06,user14,patron_pme,4239,Un débat apaisé est nécessaire. #Asile,29
2024-12-28,user02,etudiant,3622,Il faut mieux contrôler les frontières. #PolitiqueMigratoire,0
2024-02-05,user14,patron_pme,2754,L'immigration manque de régulation. #Europe #Asile,80
2024-06-16,user14,patron_pme,3346,Les capacités d'accueil sont limitées. #DebatPublic #Accueil,75
2024-10-18,user20,consultant,2515,L'immigration manque de régulation. #Asile #Frontieres,103
2024-10-23,user14,patron_pme,2689,L'accueil des migrants est une responsabilité collective. #Accueil #Migration,119
2024-09-20,user10,commercant,2795,Les capacités d'accueil sont limitées. #Frontieres #Europe,23
2024-01-13,user05,journaliste,428,Il faut mieux contrôler les frontières. #Travail,62
2024-11-18,user14,patron_pme,4765,Les politiques migratoires sont inefficaces. #DebatPublic #Frontieres,49
2024-12-01,user05,journaliste,95,Les capacités d'accueil sont limitées. #Europe,27
2024-01-26,user15,urbaniste,4616,L'immigration manque de régulation. #Accueil #Travail,63
2024-10-13,user17,doctorant,4927,Les politiques migratoires sont inefficaces. #Europe #Travail,81
2025-01-15,user06,retraite,3938,L'accueil des migrants est une responsabilité collective. #Europe #Travail,115
2024-05-20,user08,chauffeur_vtc,3653,Les capacités d'accueil sont limitées. #PolitiqueMigratoire #Europe,19
2024-02-11,user18,cadre_prive,1183,L'accueil des migrants est une responsabilité collective. #Migration,38
2024-07-27,user14,patron_pme,2760,L'immigration est une richesse pour la société. #DebatPublic,138
2025-01-29,user13,ouvrier,4834,Il faut mieux contrôler les frontières. #Travail #Immigration,5
2024-06-01,user12,assistante_sociale,3244,Il faut mieux contrôler les frontières. #Travail,107
2024-05-19,user08,chauffeur_vtc,3620,La diversité culturelle est un atout. #Accueil #Travail,124
2024-11-14,user05,journaliste,4425,Il faut mieux contrôler les frontières. #Migration,6
2024-03-10,user14,patron_pme,3832,Les migrants contribuent à l'économie. #Frontieres #Travail,46
2024-06-21,user11,agent_public,3155,Les politiques migratoires sont inefficaces. #Migration #Travail,71
